Date,Ticker,drawdown_90d,fgi
2023-08-23,BTC,-0.15964498256673262,37.0
2023-08-24,BTC,-0.16767792439999327,41.0
2023-08-25,BTC,-0.17149426325171532,39.0
2023-08-26,BTC,-0.17284988378351657,38.0
2023-08-27,BTC,-0.17016661987910686,38.0
2023-08-28,BTC,-0.16958704759264492,39.0
2023-08-29,BTC,-0.11883584497220245,39.0
2023-08-30,BTC,-0.13207253841534186,49.0
2023-08-31,BTC,-0.1752848504000893,52.0
2023-09-01,BTC,-0.17960000928333011,40.0
2023-09-02,BTC,-0.17755068237245042,39.0
2023-09-03,BTC,-0.17431741295208944,40.0
2023-09-04,BTC,-0.17893332629665387,40.0
2023-09-05,BTC,-0.1800117186146347,40.0
2023-09-06,BTC,-0.18103383869196604,42.0
2023-09-07,BTC,-0.16529509703464365,41.0
2023-09-08,BTC,-0.17624751901413577,46.0
2023-09-09,BTC,-0.17653015190643673,41.0
2023-09-10,BTC,-0.17843768548777061,40.0
2023-09-11,BTC,-0.2000274684835712,40.0
2023-09-12,BTC,-0.17848569174956758,30.0
2023-09-13,BTC,-0.1663442405043773,41.0
2023-09-14,BTC,-0.15678336427246828,45.0
2023-09-15,BTC,-0.15432677894197377,45.0
2023-09-16,BTC,-0.15560895943089376,43.0
2023-09-17,BTC,-0.15663139743048873,46.0
2023-09-18,BTC,-0.14916022423693098,46.0
